Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.005 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationExpirySweeperTest
Tests run: 12, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.003 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationCopyMapperTest$RetainedFields
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.006 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest$AmendNotification
Tests run: 10, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.009 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest$CopyNotification
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.003 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest$CancelAmendNotification
Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.207 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.003 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest$DeleteExpired
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.006 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest$FindAll
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.007 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest$ExpiryStamping
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.004 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest$DeleteByReferenceNumbers
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.024 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest$FindFulfilmentsView
Tests run: 12, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.019 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest$SaveNotification
Tests run: 14, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.023 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest$Fulfilments
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.004 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest$FindAllReferenceNumbers
